% Model:              ext_convergence.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 8 2023, 22:13
% Table:              IV - Global Evaluation 1
% ext                    Terminal current (A)     Terminal voltage (V)
1                        -1.4520899411549224E-8   -0.04719615552465327
2                        -1.8661445275257842E-8   -0.04718077329862856
5                        -1.9182139414315324E-8   -0.04719897048356758
10                       -1.9235761929939987E-8   -0.047169177819486305
20                       -1.9277934088423064E-8   -0.047164603836716223
50                       -1.9225152226225547E-8   -0.04720387881414021
100                      -1.9254874228175346E-8   -0.04716429198937701
200                      -1.9150637613799673E-8   -0.047200506919561715
