% Model:              ext_convergence.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 8 2023, 22:13
% Table:              V_max - V_max
% ext                    OK (V)                   OK (V)
1                        0.047904573856204447     0.04722079487172641
2                        0.04811151995604524      0.047244989526791965
5                        0.048159121994194004     0.04725278463480588
10                       0.04814083199553005      0.04723126377086525
20                       0.04815071855243539      0.0472427499590578
50                       0.04813896109624014      0.04722730642285933
100                      0.048086897932384964     0.04717920270356477
200                      0.04816411371250646      0.04725906860020138
