% Model:              ext_convergence.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 8 2023, 22:13
% Table:              A - A
% ext                    V (m^3)                  J (m^3)                  V (m^3)                  J (m^3)
1                        1.716497005899292E-11    8.338769986500312E-12    6.346159206681669E-12    1.5244168223189614E-11
2                        2.6962664382702913E-11   8.340018269740457E-12    6.942631662941726E-12    1.53261017786929E-11
5                        2.8786286406103944E-11   8.357279267232407E-12    6.962412704634154E-12    1.531595955777137E-11
10                       2.888833151439438E-11    8.352794396118316E-12    6.973703222022744E-12    1.531359284692677E-11
20                       2.8928421694085633E-11   8.350323360490438E-12    6.966798881175552E-12    1.5328917172162454E-11
50                       2.8939491428636663E-11   8.34497878565726E-12     6.8927758324310696E-12   1.532083671325126E-11
100                      2.8992127707370372E-11   8.352513990806244E-12    6.985029428948279E-12    1.5322510263647923E-11
200                      2.8996467754624158E-11   8.34438321296769E-12     7.007286523698366E-12    1.5323676889626068E-11
