timestamps population node_ids
13.175000000099786 v1 3708
7.200000000100069 v1 3744
13.075000000099791 v1 3744
14.35000000009972 v1 4032
13.750000000099751 v1 4356
21.279023 v1 132480
18.463113 v1 141156
0.3000000001000001 v1 157284
5.300000000100042 v1 157284
10.30000000009995 v1 157284
15.300000000099663 v1 157284
20.30000000009938 v1 157284
40.573875 v1 864
28.20000000009893 v1 4356
37.42500000009995 v1 74664
48.87500000010255 v1 87552
36.045041 v1 118080
42.553464000000005 v1 118980
46.620895 v1 119556
45.391156 v1 119880
38.12981500000001 v1 120168
38.993812000000005 v1 120384
49.05000000010259 v1 121392
49.971671 v1 143892
35.37500000009948 v1 157068
25.300000000099097 v1 157284
30.30000000009881 v1 157284
35.300000000099466 v1 157284
40.3000000001006 v1 157284
45.30000000010174 v1 157284
28.181768 v1 158652
32.912665 v1 159372
42.890356 v1 167436
40.70000000010069 v1 208692
28.45000000009892 v1 209196
49.375000000102666 v1 209196
48.37500000010244 v1 214344
48.6500000001025 v1 217656
37.32500000009993 v1 218304
42.40000000010108 v1 218304
40.573875 v1 224640
52.02500000010327 v1 3672
53.0500000001035 v1 4068
53.85000000010368 v1 4284
50.22500000010286 v1 64836
52.92306500000001 v1 109944
61.12500000010534 v1 113076
64.296638 v1 117360
68.55538299999999 v1 117432
57.211111 v1 118044
74.783828 v1 119016
62.71639 v1 119232
68.727724 v1 119412
61.73060000000001 v1 120312
69.45000000010722 v1 121248
50.65000000010296 v1 123732
51.67603 v1 125712
53.762466 v1 126468
67.84274 v1 128376
74.931038 v1 132444
56.397358 v1 133164
55.70881700000001 v1 135108
67.84274 v1 135144
63.41313100000001 v1 137016
68.052208 v1 140112
69.97793 v1 140868
71.52708000000001 v1 141084
70.62244000000001 v1 143136
50.30000000010288 v1 157284
55.30000000010401 v1 157284
60.30000000010515 v1 157284
65.30000000010628 v1 157284
70.30000000010742 v1 157284
60.85000000010528 v1 160812
64.676524 v1 184716
73.903974 v1 206244
70.2000000001074 v1 208116
63.225000000105815 v1 208908
57.47500000010451 v1 211248
65.55000000010634 v1 219816
74.187811 v1 223128
86.00000000011099 v1 4356
91.85000000011232 v1 51336
92.87500000011256 v1 52812
78.80000000010935 v1 53856
97.17500000011351 v1 74700
80.30000000010969 v1 74988
98.27500000011378 v1 75240
96.23507 v1 82332
97.130766 v1 91620
98.12500000011374 v1 114300
94.65000000011295 v1 115956
87.55834200000001 v1 117864
98.887034 v1 118764
86.79101 v1 118980
94.486404 v1 119088
92.971104 v1 119268
95.778854 v1 119376
85.945465 v1 119556
92.571869 v1 119592
