2024-03-11 11:13:41,197 [INFO] Created log file
2024-03-11 11:13:41,247 [INFO] Building cells.
2024-03-11 11:13:48,257 [INFO] Fixing cell #87, Scnn1a
2024-03-11 11:13:48,337 [INFO] Fixing cell #88, Scnn1a
2024-03-11 11:13:48,427 [INFO] Fixing cell #89, Scnn1a
2024-03-11 11:13:48,507 [INFO] Fixing cell #90, Scnn1a
2024-03-11 11:13:48,597 [INFO] Fixing cell #91, Scnn1a
2024-03-11 11:13:48,677 [INFO] Fixing cell #92, Scnn1a
2024-03-11 11:13:48,767 [INFO] Fixing cell #93, Scnn1a
2024-03-11 11:13:48,853 [INFO] Fixing cell #94, Scnn1a
2024-03-11 11:13:48,937 [INFO] Fixing cell #95, Scnn1a
2024-03-11 11:13:49,020 [INFO] Fixing cell #96, Scnn1a
2024-03-11 11:13:49,110 [INFO] Fixing cell #97, Scnn1a
2024-03-11 11:13:49,197 [INFO] Fixing cell #98, Scnn1a
2024-03-11 11:13:49,282 [INFO] Fixing cell #99, Scnn1a
2024-03-11 11:13:49,308 [INFO] Building recurrent connections
2024-03-11 11:13:49,717 [INFO] Running simulation for 2000.000 ms with the time step 0.100 ms
2024-03-11 11:13:49,717 [INFO] Starting timestep: 0 at t_sim: 0.000 ms
2024-03-11 11:13:49,717 [INFO] Block save every 5000 steps
2024-03-11 11:14:00,112 [INFO]     step:5000 t_sim:500.00 ms
2024-03-11 11:14:10,483 [INFO]     step:10000 t_sim:1000.00 ms
2024-03-11 11:14:21,247 [INFO]     step:15000 t_sim:1500.00 ms
2024-03-11 11:14:31,992 [INFO]     step:20000 t_sim:2000.00 ms
2024-03-11 11:14:32,041 [INFO] Simulation completed in 42.32 seconds 
