timestamps population node_ids
0.4750000001000002 v1 13080
5.450000000100044 v1 13080
10.525000000099936 v1 13080
0.4250000001000002 v1 16128
10.350000000099945 v1 16128
15.700000000099642 v1 16128
0.4000000001000002 v1 25128
5.400000000100043 v1 25128
10.375000000099943 v1 25128
15.350000000099662 v1 25128
20.32500000009938 v1 25128
21.351486 v1 29748
23.122488 v1 36060
30.5250000000988 v1 11952
30.32500000009881 v1 13080
35.35000000009948 v1 13080
31.350000000098753 v1 14004
25.300000000099093 v1 16128
35.27500000009946 v1 16128
45.27500000010173 v1 16128
25.300000000099093 v1 25128
30.27500000009881 v1 25128
35.250000000099455 v1 25128
40.225000000100586 v1 25128
45.20000000010172 v1 25128
26.375000000099035 v1 28572
40.92500000010074 v1 28932
40.99035600000001 v1 29544
34.689769000000005 v1 29604
27.825000000098953 v1 30288
26.15000000009905 v1 30360
30.46501 v1 32412
36.525486 v1 32880
44.405602 v1 33708
36.525486 v1 39828
44.40000000010153 v1 40128
40.62500000010068 v1 40152
39.4250000001004 v1 40164
40.17500000010058 v1 40740
46.10000000010192 v1 52776
55.37500000010402 v1 11952
70.45000000010745 v1 14004
50.275000000102864 v1 16128
60.275000000105145 v1 16128
65.3750000001063 v1 16128
70.40000000010744 v1 16128
50.175000000102855 v1 25128
55.15000000010398 v1 25128
60.12500000010511 v1 25128
65.10000000010623 v1 25128
70.07500000010737 v1 25128
57.066115 v1 29472
68.87234300000001 v1 29604
66.374832 v1 29640
52.697224 v1 29964
60.843177 v1 30084
61.171592000000004 v1 30144
55.012066 v1 31392
71.246158 v1 31464
74.674079 v1 32124
54.58635 v1 32316
58.955422 v1 32844
70.118931 v1 34416
72.029871 v1 35004
68.61334000000001 v1 39936
51.90000000010325 v1 40152
70.12500000010738 v1 40164
73.04615799999998 v1 42012
64.63026900000001 v1 51060
50.125000000102844 v1 53640
53.78306 v1 55524
56.298088 v1 55584
73.50393700000002 v1 55656
62.876523999999996 v1 56160
90.05000000011191 v1 11952
80.05000000010962 v1 16128
85.1250000001108 v1 16128
90.15000000011192 v1 16128
80.7500000001098 v1 16896
95.45000000011315 v1 16968
90.97500000011213 v1 17016
95.45000000011315 v1 21744
93.60000000011273 v1 21828
82.912526 v1 23424
75.0500000001085 v1 25128
80.02500000010963 v1 25128
85.00000000011077 v1 25128
89.97500000011189 v1 25128
94.95000000011301 v1 25128
99.92500000011415 v1 25128
90.504212 v1 26196
92.77500000011251 v1 28404
83.728032 v1 29664
94.291076 v1 29868
82.843788 v1 29964
83.94196099999999 v1 30096
89.864222 v1 32424
90.467024 v1 32652
