timestamps population node_ids
0.4250000001000002 v1 12660
5.400000000100043 v1 12660
10.375000000099943 v1 12660
15.375000000099659 v1 12660
20.350000000099374 v1 12660
0.12500000009999998 v1 13128
5.10000000010004 v1 13128
10.10000000009996 v1 13128
15.075000000099678 v1 13128
20.050000000099395 v1 13128
18.100000000099502 v1 16920
5.17500000010004 v1 17484
10.125000000099961 v1 17484
15.100000000099676 v1 17484
20.075000000099394 v1 17484
20.350000000099374 v1 17484
23.075000000099227 v1 28920
21.195157000000002 v1 30024
23.122488 v1 32100
22.80000000009924 v1 39312
22.97500000009923 v1 40152
17.125000000099668 v1 48120
32.90000000009892 v1 12516
25.32500000009909 v1 12660
30.30000000009881 v1 12660
35.27500000009946 v1 12660
40.25000000010059 v1 12660
45.225000000101716 v1 12660
35.10000000009942 v1 13104
25.025000000099112 v1 13128
30.00000000009883 v1 13128
34.97500000009939 v1 13128
39.95000000010052 v1 13128
44.925000000101655 v1 13128
49.900000000102786 v1 13128
41.150000000100796 v1 13884
25.05000000009911 v1 17484
25.300000000099093 v1 17484
30.025000000098828 v1 17484
35.025000000099396 v1 17484
40.050000000100546 v1 17484
45.05000000010168 v1 17484
33.975000000099165 v1 21264
26.52500000009903 v1 21888
44.97500000010167 v1 25104
33.77500000009912 v1 25116
29.97500000009883 v1 28380
37.10168 v1 29676
39.690326000000006 v1 30012
26.622418 v1 30048
47.273284 v1 30096
28.200000000098928 v1 30360
49.67500000010274 v1 30924
39.80700300000001 v1 34128
37.611742 v1 34752
45.14944500000001 v1 34932
49.35000000010265 v1 36624
33.82500000009913 v1 39312
32.77500000009889 v1 40152
33.37500000009903 v1 40164
43.775000000100974 v1 42720
36.07500000009921 v1 46692
43.37500000010087 v1 47352
26.97500000009911 v1 48120
36.95000000009941 v1 48120
46.92500000010168 v1 48120
46.50000000010158 v1 49968
34.80000000009935 v1 52680
29.150000000098878 v1 52752
38.37500000010017 v1 52752
34.775000000099354 v1 52872
39.000000000100314 v1 53916
30.975000000098767 v1 54456
42.87500000010119 v1 54456
44.800000000101626 v1 54516
31.67500000009873 v1 54684
44.37500000010153 v1 54684
47.662195000000004 v1 55620
38.12981500000001 v1 56124
43.64223000000001 v1 56220
55.875000000104144 v1 12012
50.200000000102854 v1 12660
55.17500000010399 v1 12660
60.150000000105116 v1 12660
65.12500000010624 v1 12660
70.10000000010737 v1 12660
54.875000000103924 v1 13128
59.85000000010505 v1 13128
64.82500000010617 v1 13128
69.8000000001073 v1 13128
74.77500000010843 v1 13128
55.300000000104006 v1 13668
50.000000000102816 v1 17484
55.02500000010395 v1 17484
60.000000000105075 v1 17484
65.02500000010622 v1 17484
69.95000000010735 v1 17484
74.90000000010845 v1 17484
57.4750000001045 v1 21264
54.90000000010392 v1 25116
51.025000000103034 v1 28920
53.78306 v1 29340
73.41768799999998 v1 29448
52.22303 v1 29460
61.190081000000006 v1 29496
61.190081000000006 v1 29832
50.4000000001029 v1 30888
52.05000000010328 v1 30900
51.15000000010307 v1 30912
69.924751 v1 31440
69.92632900000001 v1 31836
58.396424 v1 33000
64.686768 v1 33180
69.924084 v1 35268
69.761157 v1 35316
57.72500000010457 v1 39312
53.425000000103594 v1 40152
74.75000000010843 v1 40152
70.50000000010745 v1 40212
56.825000000103934 v1 48120
62.150000000105145 v1 48120
71.75000000010732 v1 48120
