edge_type_id target_query source_query target_sections syn_weight dynamics_params delay model_template distance_range
136 node_type_id=='487601493' * "[""basal"", ""apical""]" 7.51385109719e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
137 node_type_id=='313861608' * "[""somatic"", ""basal""]" 8.47346785379e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
138 node_type_id=='321023397' * "[""somatic"", ""basal""]" 1.7484873836199999e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
139 node_type_id=='330080937' * "[""somatic"", ""basal""]" 4.6061197338199996e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
140 node_type_id=='333785962' * "[""somatic"", ""basal""]" 1.01433569258e-09 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
141 node_type_id=='396608557' * "[""somatic"", ""basal""]" 1.3963791926e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
142 node_type_id=='469610831' * "[""somatic"", ""basal""]" 3.70935200116e-11 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
143 node_type_id=='471077857' * "[""somatic"", ""basal""]" 5.931771095459998e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
144 node_type_id=='471085676' * "[""somatic"", ""basal""]" 8.13389673429e-12 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
145 node_type_id=='478793814' * "[""somatic"", ""basal""]" 1.22243297143e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
146 node_type_id=='482516713' * "[""somatic"", ""basal""]" 8.905354866010001e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
147 node_type_id=='484742372' * "[""somatic"", ""basal""]" 4.4983153779100003e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
148 node_type_id=='486783119' * "[""somatic"", ""basal""]" 1.0867135272399999e-10 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
149 node_type_id=='318331342' * "[""somatic"", ""basal""]" 9.34955530842e-05 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
150 node_type_id=='333604946' * "[""somatic"", ""basal""]" 0.000108033596414 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
151 node_type_id=='487667205' * "[""somatic"", ""basal""]" 2.37657238044e-05 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
152 node_type_id=='314642645' * "[""basal"", ""apical""]" 9.12610832095e-08 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
153 node_type_id=='324025371' * "[""basal"", ""apical""]" 2.33252407454e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
154 node_type_id=='329550137' * "[""basal"", ""apical""]" 3.26294632394e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
155 node_type_id=='473020156' * "[""basal"", ""apical""]" 2.35659688567e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
156 node_type_id=='476616076' * "[""basal"", ""apical""]" 1.1759330164200001e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
157 node_type_id=='479179020' * "[""basal"", ""apical""]" 2.59048905485e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
158 node_type_id=='480087928' * "[""basal"", ""apical""]" 1.23906491177e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
159 node_type_id=='480124551' * "[""basal"", ""apical""]" 1.69043404589e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
160 node_type_id=='484564503' * "[""basal"", ""apical""]" 4.06974373835e-05 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
161 node_type_id=='484679812' * "[""basal"", ""apical""]" 1.50521115117e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
162 node_type_id=='485836906' * "[""basal"", ""apical""]" 5.96221643336e-08 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
163 node_type_id=='486502127' * "[""basal"", ""apical""]" 5.21628191549e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
164 node_type_id=='474626527' * "[""somatic"", ""basal""]" 0.00016345984188999998 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
165 node_type_id=='313862167' * "[""somatic"", ""basal""]" 0.000162911596495 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
166 node_type_id=='473016550' * "[""somatic"", ""basal""]" 0.000541938022949 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
167 node_type_id=='485058595' * "[""somatic"", ""basal""]" 0.000488084241135 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
168 node_type_id=='318733871' * "[""basal"", ""apical""]" 6.45497642608e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
169 node_type_id=='318808427' * "[""basal"", ""apical""]" 8.923984297210001e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
170 node_type_id=='321906005' * "[""basal"", ""apical""]" 0.000496764761999 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
171 node_type_id=='370351753' * "[""basal"", ""apical""]" 7.23018451543e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
172 node_type_id=='386049446' * "[""basal"", ""apical""]" 5.69716655102e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
173 node_type_id=='397351623' * "[""basal"", ""apical""]" 8.87646742159e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
174 node_type_id=='422738880' * "[""basal"", ""apical""]" 3.17393521863e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
