edge_type_id target_query source_query weight_function syn_weight target_sections weight_sigma dynamics_params delay model_template distance_range
142 node_type_id=='471129934' pop_name=='e5Rbp4' DirectionRule_EE 0.00248793156534 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
143 node_type_id=='471143169' pop_name=='e5Rbp4' DirectionRule_EE 0.00105928050119 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
144 node_type_id=='471758398' pop_name=='e5Rbp4' DirectionRule_EE 0.00148324896992 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
145 node_type_id=='471767045' pop_name=='e5Rbp4' DirectionRule_EE 0.0018948621084400002 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
146 node_type_id=='485574832' pop_name=='e5Rbp4' DirectionRule_EE 0.00199590108844 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
147 node_type_id=='485835055' pop_name=='e5Rbp4' DirectionRule_EE 0.0015455955545699998 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
148 node_type_id=='485880739' pop_name=='e5Rbp4' DirectionRule_EE 0.0018438204056700001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
149 node_type_id=='486052980' pop_name=='e5Rbp4' DirectionRule_EE 0.0021445250363 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
150 node_type_id=='486110216' pop_name=='e5Rbp4' DirectionRule_EE 0.0016442408136899999 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
151 node_type_id=='487664663' pop_name=='e5Rbp4' DirectionRule_EE 0.00213561632747 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
