node_type_id dynamics_params location pop_name model_processing morphology ei population model_type model_template
473020156 473020156_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc e v1 biophysical ctdb:Biophys1.hoc
476616076 476616076_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc e v1 biophysical ctdb:Biophys1.hoc
479179020 479179020_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc e v1 biophysical ctdb:Biophys1.hoc
480087928 480087928_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc e v1 biophysical ctdb:Biophys1.hoc
480124551 480124551_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc e v1 biophysical ctdb:Biophys1.hoc
484679812 484679812_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-201967.03.01.01_496123870_m.swc e v1 biophysical ctdb:Biophys1.hoc
485836906 485836906_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e v1 biophysical ctdb:Biophys1.hoc
486502127 486502127_fit.json VisL4 e4Rorb aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-206927.04.01.01_496253700_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000104 e4Scnn1a_avg_lif.json VisL4 LIFe4Scnn1a   e v1 point_process nrn:IntFire1
314900022 314900022_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc e v1 biophysical ctdb:Biophys1.hoc
348592897 348592897_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc e v1 biophysical ctdb:Biophys1.hoc
395830185 395830185_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc e v1 biophysical ctdb:Biophys1.hoc
469798159 469798159_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e v1 biophysical ctdb:Biophys1.hoc
476126528 476126528_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc e v1 biophysical ctdb:Biophys1.hoc
476218657 476218657_fit.json VisL4 e4Scnn1a aibs_perisomatic Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000110 e4other_avg_lif.json VisL4 LIFe4other   e v1 point_process nrn:IntFire1
477135941 477135941_fit.json VisL4 e4other aibs_perisomatic Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc e v1 biophysical ctdb:Biophys1.hoc
483061182 483061182_fit.json VisL4 e4other aibs_perisomatic Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e v1 biophysical ctdb:Biophys1.hoc
485909730 485909730_fit.json VisL4 e4other aibs_perisomatic Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc e v1 biophysical ctdb:Biophys1.hoc
486146717 486146717_fit.json VisL4 e4other aibs_perisomatic Cux2-CreERT2_Ai14-205221.03.01.01_500961566_m.swc e v1 biophysical ctdb:Biophys1.hoc
487601493 487601493_fit.json VisL4 e4other aibs_perisomatic Cux2-CreERT2_Ai14-211771.03.01.01_496123846_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000114 i4Htr3a_avg_lif.json VisL4 LIFi4Htr3a   i v1 point_process nrn:IntFire1
