timestamps population node_ids
13.27500000009978 v1 4356
18.57500000009948 v1 75564
17.156513 v1 118188
8.459307 v1 118224
24.678858 v1 118368
23.896397 v1 118620
15.250000000099668 v1 148644
13.27500000009978 v1 156960
21.850000000099293 v1 156960
7.775000000100077 v1 160776
23.97500000009917 v1 209772
19.875000000099405 v1 216828
35.208283 v1 684
39.825000000100495 v1 4356
48.75000000010253 v1 52812
34.200000000099216 v1 67932
31.92500000009872 v1 86868
39.306517 v1 110448
49.180936 v1 120348
28.7500000000989 v1 123624
41.048016 v1 128304
35.941744 v1 131184
31.869626 v1 137304
27.380704 v1 142560
32.952401 v1 143820
47.871113 v1 144972
30.225000000098817 v1 147456
35.27500000009946 v1 147456
40.50000000010065 v1 147456
46.47500000010201 v1 150912
30.600000000098795 v1 156960
40.7250000001007 v1 156960
36.85000000009982 v1 156996
34.92500000009938 v1 157032
48.70000000010251 v1 157032
39.50000000010042 v1 160632
25.000000000099117 v1 160740
34.95000000009895 v1 206244
26.50000000009903 v1 211356
48.42500000010245 v1 214344
28.37500000009892 v1 216036
33.92500000009915 v1 216036
40.37500000010062 v1 216036
49.75000000010275 v1 216036
27.125000000098996 v1 216828
33.17500000009898 v1 216828
39.15000000010034 v1 216828
44.2500000001015 v1 216828
34.150000000099205 v1 219276
38.503809 v1 222876
38.408633 v1 223128
41.275000000100825 v1 225576
27.67500000009896 v1 225648
39.125000000100336 v1 225648
38.42500000010018 v1 225756
46.05000000010191 v1 225756
36.27500000009969 v1 225828
44.07500000010146 v1 225828
27.85000000009895 v1 226080
36.12500000009965 v1 226080
44.30000000010151 v1 226080
45.30000000010174 v1 230004
42.35000000010107 v1 230616
73.60000000010817 v1 3564
55.42500000010404 v1 114984
55.40000000010404 v1 115092
51.90000000010324 v1 116028
52.6000000001034 v1 117180
68.55538299999999 v1 118008
58.396424 v1 118620
62.905658 v1 119052
69.169285 v1 119520
74.187811 v1 120060
54.481032 v1 120132
55.649432 v1 120636
71.35000000010766 v1 121644
68.78939000000001 v1 134136
59.714345 v1 136008
62.18017300000001 v1 136944
56.05978000000001 v1 137700
67.351466 v1 138348
51.575879 v1 140940
69.39984000000001 v1 143820
54.32500000010379 v1 145152
70.87500000010755 v1 148644
52.07500000010328 v1 156960
64.00000000010598 v1 156960
68.15000000010693 v1 157068
72.40304200000001 v1 158940
61.190081000000006 v1 159768
50.30000000010288 v1 160776
67.80000000010685 v1 209664
64.65000000010613 v1 209772
51.25000000010309 v1 211608
57.40000000010449 v1 211608
58.42500000010472 v1 213840
51.17500000010308 v1 216828
63.70000000010592 v1 216828
70.17500000010739 v1 216828
52.1500000001033 v1 218664
60.47500000010519 v1 219204
55.70881700000001 v1 222444
61.84883900000001 v1 223812
