115.27081180605684,282.4554799209421
113.08775131417738,285.8958017585139
111.21998618647376,279.25003085829525
116.4251464881686,279.7952987177955
116.16912298162146,291.94629057342917
112.27399096305977,284.078592152578
116.5060375787191,282.64947125706533
116.46958634065518,292.80270343295103
114.0516560116946,283.15781828863555
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
171.7048332602296,539.8646065171605,232.11776242276773
160.5029123492747,539.3164806642633,236.0503857508879
100.31790892671363,525.6688509281234,312.5458423674532
172.19735329594187,538.5945956299363,230.65260807231363
171.7048332602296,539.8646065171605,232.11776242276773
160.5029123492747,539.3164806642633,236.0503857508879
100.31790892671363,525.6688509281234,312.5458423674532
172.19735329594187,538.5945956299363,230.65260807231363
173.75113625757018,527.7005954153366,315.964774467561
171.57008747705356,539.7601621625374,232.47258880250877
173.79063127569083,542.0812999258685,230.1817619587822
167.73817011213293,556.4362882441455,240.6204190740521
371.7048332602296,739.8646065171605,432.1177624227677
360.5029123492747,739.3164806642633,436.0503857508879
300.31790892671364,725.6688509281234,512.5458423674531
372.19735329594187,738.5945956299363,430.6526080723136
373.7511362575702,727.7005954153366,515.964774467561
371.57008747705356,739.7601621625374,432.47258880250877
373.7906312756908,742.0812999258685,430.1817619587822
367.73817011213293,756.4362882441455,440.6204190740521
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
113.08775131417738,598.7718559714566,285.8958017585139
111.21998618647376,609.2029147893304,279.25003085829525
116.4251464881686,611.2120688823973,279.7952987177955
116.16912298162146,594.8752470493796,291.94629057342917
112.27399096305977,606.85567702887,284.078592152578
116.5060375787191,612.7517951409679,282.64947125706533
116.46958634065518,583.6398187723248,292.80270343295103
114.0516560116946,611.1900242775796,283.15781828863555
115.27081180605684,616.2738151812536,282.4554799209421
