timestamps population node_ids
10.074763 v1 119880
17.879084 v1 120492
24.275000000099155 v1 156996
30.491213 v1 3168
48.92500000010256 v1 3564
25.800000000099068 v1 4356
37.92500000010006 v1 87408
48.50000000010247 v1 115452
30.090386 v1 117828
26.784021 v1 118512
46.028154 v1 118728
46.722592000000006 v1 119952
47.998603 v1 120168
28.449304 v1 120528
41.07500000010078 v1 121752
39.938835 v1 126972
49.916602000000005 v1 132840
42.10000000010101 v1 157068
49.180936 v1 158220
33.7000000000991 v1 160668
30.5000000000988 v1 160740
30.90000000009878 v1 160812
58.396424 v1 2808
73.92500000010824 v1 3744
74.52500000010838 v1 4356
55.854169 v1 81396
74.87500000010846 v1 113436
69.023009 v1 117360
57.365089000000005 v1 117504
53.78306 v1 117864
58.50975600000001 v1 118044
51.819512 v1 118548
63.043512 v1 118584
56.555516 v1 118764
74.09559500000002 v1 119700
54.834862 v1 120132
59.614195 v1 120528
50.775000000102985 v1 123732
62.876524 v1 131112
58.22899300000001 v1 135720
53.78306 v1 137088
65.63029300000001 v1 138132
71.59964300000001 v1 138636
69.671108 v1 138672
55.081363 v1 139608
51.908531 v1 140256
70.118931 v1 142164
65.605311 v1 142380
60.00376500000001 v1 158796
52.697224 v1 222048
72.07948 v1 223128
55.79044 v1 223236
95.97500000011324 v1 48816
99.7000000001141 v1 53496
95.15000000011308 v1 58320
92.32500000011242 v1 74844
97.9500000001137 v1 75744
83.22500000011036 v1 115848
96.95000000011348 v1 116064
82.375145 v1 117540
97.619476 v1 117792
88.418188 v1 117828
90.822015 v1 118152
98.887034 v1 118800
88.95116600000001 v1 118872
82.50512 v1 119160
95.126088 v1 120384
83.994457 v1 120672
85.6000000001109 v1 121212
81.085283 v1 124848
83.19637 v1 126756
95.167668 v1 130248
86.202268 v1 135036
91.993701 v1 135432
83.994457 v1 136368
96.236763 v1 140004
90.93741 v1 141228
95.167668 v1 141732
78.27500000010923 v1 157248
92.83206 v1 158868
94.10000000011284 v1 160740
98.00000000011372 v1 160812
91.120682 v1 222048
21.695016 v1 1981
13.475000000099769 v1 3709
9.200000000100012 v1 4105
18.05000000009951 v1 4285
10.550000000099937 v1 86257
15.425000000099658 v1 86257
20.45000000009937 v1 86257
23.962785 v1 117721
8.087106 v1 119161
21.120305 v1 120781
21.695016 v1 143353
23.250000000099213 v1 157033
32.42500000009881 v1 3457
25.850000000099065 v1 4357
44.07500000010146 v1 4357
25.450000000099088 v1 86257
30.70000000009879 v1 86257
45.5500000001018 v1 86257
37.35270700000001 v1 108469
29.925000000098837 v1 113725
38.165435 v1 117397
43.775492 v1 119917
26.842744 v1 119989
47.133717 v1 120529
46.722592000000006 v1 134857
33.578116 v1 143281
29.08062 v1 144253
49.009468000000005 v1 144253
46.450000000102 v1 156997
45.284294 v1 222985
38.654025 v1 223273
70.2250000001074 v1 4321
50.50000000010292 v1 86257
66.806937 v1 102169
53.966317 v1 117685
69.023009 v1 118225
58.454009 v1 118369
60.369572 v1 119233
65.63029300000001 v1 120637
69.20000000010717 v1 120961
74.37500000010834 v1 121645
55.987685 v1 126217
54.818695000000005 v1 126937
57.657142000000015 v1 129385
56.397358 v1 129745
67.92197800000001 v1 129925
56.298088 v1 130177
67.84274 v1 130717
67.02000500000001 v1 137701
54.826294 v1 138817
64.721183 v1 139285
73.24543100000001 v1 139897
69.554586 v1 141337
71.556447 v1 141517
56.72416899999999 v1 143065
74.82500000010845 v1 157069
65.57500000010634 v1 157249
66.374832 v1 159229
72.65000000010795 v1 160669
63.00000000010576 v1 160777
65.060369 v1 223849
54.826294 v1 224497
75.5000000001086 v1 3817
95.52500000011317 v1 4033
84.45000000011063 v1 4249
97.9500000001137 v1 74557
85.80000000011094 v1 86833
90.93741 v1 97129
98.85000000011392 v1 116065
88.445531 v1 117325
82.912526 v1 117397
88.161507 v1 117829
84.36853 v1 118261
94.976045 v1 118513
85.192973 v1 118621
92.412319 v1 119161
96.315159 v1 119521
94.397652 v1 120061
81.17760200000001 v1 120277
89.460536 v1 128413
84.41068100000001 v1 128809
96.434384 v1 132625
83.607763 v1 133885
87.624826 v1 135469
76.333887 v1 135901
81.42874 v1 139141
90.272941 v1 141985
92.63636100000002 v1 142273
84.2750000001106 v1 157033
84.41068100000001 v1 158581
89.460536 v1 159337
88.30147200000002 v1 159589
93.853171 v1 160057
97.006783 v1 160129
79.82500000010958 v1 160777
97.75000000011366 v1 160993
89.155172 v1 224425
89.40245200000001 v1 224569
11.400000000099888 v1 3530
14.250000000099725 v1 4358
0.4500000001000002 v1 55370
5.425000000100043 v1 55370
10.45000000009994 v1 55370
15.450000000099656 v1 55370
20.45000000009937 v1 55370
24.15000000009916 v1 67718
24.425000000099143 v1 87086
11.35000000009989 v1 113366
20.373754 v1 120782
19.980143 v1 143246
20.975000000099342 v1 160778
9.07500000010002 v1 160814
29.08062 v1 146
37.120974 v1 2450
38.22500000010013 v1 3422
34.77500000009935 v1 3530
36.47500000009973 v1 4358
25.450000000099088 v1 55370
30.450000000098804 v1 55370
35.4500000000995 v1 55370
40.45000000010064 v1 55370
45.450000000101774 v1 55370
45.40000000010176 v1 87590
33.72500000009911 v1 114626
42.52500000010111 v1 115346
40.493647 v1 117686
47.998603 v1 120062
30.327746 v1 120350
