node_type_id model_template dynamics_params model_processing pop_name population ei location model_type morphology
473020156 ctdb:Biophys1.hoc 473020156_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc
476616076 ctdb:Biophys1.hoc 476616076_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc
479179020 ctdb:Biophys1.hoc 479179020_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc
480087928 ctdb:Biophys1.hoc 480087928_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc
480124551 ctdb:Biophys1.hoc 480124551_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc
484679812 ctdb:Biophys1.hoc 484679812_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-201967.03.01.01_496123870_m.swc
485836906 ctdb:Biophys1.hoc 485836906_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc
486502127 ctdb:Biophys1.hoc 486502127_fit.json aibs_perisomatic e4Rorb v1 e VisL4 biophysical Rorb-IRES2-Cre-D_Ai14-206927.04.01.01_496253700_m.swc
100000104 nrn:IntFire1 e4Scnn1a_avg_lif.json  LIFe4Scnn1a v1 e VisL4 point_process 
314900022 ctdb:Biophys1.hoc 314900022_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc
348592897 ctdb:Biophys1.hoc 348592897_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc
395830185 ctdb:Biophys1.hoc 395830185_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc
469798159 ctdb:Biophys1.hoc 469798159_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc
476126528 ctdb:Biophys1.hoc 476126528_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc
476218657 ctdb:Biophys1.hoc 476218657_fit.json aibs_perisomatic e4Scnn1a v1 e VisL4 biophysical Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc
100000110 nrn:IntFire1 e4other_avg_lif.json  LIFe4other v1 e VisL4 point_process 
477135941 ctdb:Biophys1.hoc 477135941_fit.json aibs_perisomatic e4other v1 e VisL4 biophysical Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc
483061182 ctdb:Biophys1.hoc 483061182_fit.json aibs_perisomatic e4other v1 e VisL4 biophysical Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc
