edge_type_id target_query source_query model_template dynamics_params weight_sigma weight_function distance_range delay syn_weight target_sections
6580 node_type_id=='471129934' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.4237961354e-05 "['basal', 'apical']"
6581 node_type_id=='471143169' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.056731579600001e-05 "['basal', 'apical']"
6582 node_type_id=='471758398' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.98947330596e-05 "['basal', 'apical']"
6583 node_type_id=='471767045' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 3.96300574088e-05 "['basal', 'apical']"
6584 node_type_id=='485574832' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 4.90700169766e-05 "['basal', 'apical']"
6585 node_type_id=='485835055' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 5.390321749700001e-05 "['basal', 'apical']"
6586 node_type_id=='485880739' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 4.94517182932e-05 "['basal', 'apical']"
6587 node_type_id=='486052980' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.227496491100001e-05 "['basal', 'apical']"
6588 node_type_id=='486110216' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.49633595184e-05 "['basal', 'apical']"
6589 node_type_id=='487664663' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 6.83715640028e-05 "['basal', 'apical']"
6591 node_type_id=='487661754' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 7.911780950300001e-05 "['basal', 'apical']"
6592 node_type_id=='321708130' location=='LGN' exp2syn AMPA_ExcToInh.json nan wmax "[0.0, 1e+20]" 1.7 0.00058849913963 "['somatic', 'basal']"
6594 node_type_id=='471087830' location=='LGN' exp2syn AMPA_ExcToInh.json nan wmax "[0.0, 1e+20]" 1.7 0.00055719392574 "['somatic', 'basal']"
6596 node_type_id=='478058328' location=='LGN' exp2syn AMPA_ExcToInh.json nan wmax "[0.0, 1e+20]" 1.7 0.000701797010887 "['somatic', 'basal']"
6597 node_type_id=='478828646' location=='LGN' exp2syn AMPA_ExcToInh.json nan wmax "[0.0, 1e+20]" 1.7 0.0005972070176799 "['somatic', 'basal']"
6599 node_type_id=='314900022' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 8.10985903604e-06 "['basal', 'apical']"
6602 node_type_id=='348592897' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 3.73082419367e-05 "['basal', 'apical']"
6603 node_type_id=='395830185' location=='LGN' exp2syn AMPA_ExcToExc.json nan wmax "[0.0, 150.0]" 1.7 1.67671048018e-05 "['basal', 'apical']"
