edge_type_id target_query source_query dynamics_params model_template weight_sigma weight_function distance_range delay syn_weight target_sections
142 node_type_id=='471129934' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00248793156534 "[""basal"", ""apical""]"
143 node_type_id=='471143169' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00105928050119 "[""basal"", ""apical""]"
144 node_type_id=='471758398' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00148324896992 "[""basal"", ""apical""]"
145 node_type_id=='471767045' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00189486210844 "[""basal"", ""apical""]"
146 node_type_id=='485574832' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00199590108844 "[""basal"", ""apical""]"
147 node_type_id=='485835055' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.0015455955545699 "[""basal"", ""apical""]"
148 node_type_id=='485880739' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00184382040567 "[""basal"", ""apical""]"
149 node_type_id=='486052980' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.0021445250363 "[""basal"", ""apical""]"
150 node_type_id=='486110216' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00164424081369 "[""basal"", ""apical""]"
151 node_type_id=='487664663' pop_name=='e5Rbp4' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00213561632747 "[""basal"", ""apical""]"
152 node_type_id=='471129934' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.00122669236381 "[""basal"", ""apical""]"
153 node_type_id=='471143169' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.000522398673419 "[""basal"", ""apical""]"
154 node_type_id=='471758398' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.0007314280549 "[""basal"", ""apical""]"
155 node_type_id=='471767045' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.000934646421982 "[""basal"", ""apical""]"
156 node_type_id=='485574832' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.00098441798224 "[""basal"", ""apical""]"
157 node_type_id=='485835055' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.00076236898471 "[""basal"", ""apical""]"
158 node_type_id=='485880739' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.000909396317645 "[""basal"", ""apical""]"
159 node_type_id=='486052980' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.00105769394567 "[""basal"", ""apical""]"
160 node_type_id=='486110216' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.000810966625951 "[""basal"", ""apical""]"
161 node_type_id=='487664663' pop_name=='e23Cux2' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.8 0.00105293410472 "[""basal"", ""apical""]"
162 node_type_id=='471129934' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.0005409114246649 "[""somatic"", ""basal"", ""apical""]"
163 node_type_id=='471143169' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 6.98717883595e-05 "[""somatic"", ""basal"", ""apical""]"
164 node_type_id=='471758398' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.00031339589704 "[""somatic"", ""basal"", ""apical""]"
165 node_type_id=='471767045' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.0001684045974629 "[""somatic"", ""basal"", ""apical""]"
166 node_type_id=='485574832' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000153546341004 "[""somatic"", ""basal"", ""apical""]"
167 node_type_id=='485835055' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 9.2738915772e-05 "[""somatic"", ""basal"", ""apical""]"
168 node_type_id=='485880739' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000156540181299 "[""somatic"", ""basal"", ""apical""]"
169 node_type_id=='486052980' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.00029428934158 "[""somatic"", ""basal"", ""apical""]"
170 node_type_id=='486110216' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000736681634855 "[""somatic"", ""basal"", ""apical""]"
171 node_type_id=='487664663' pop_name=='i6Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.00015111610268 "[""somatic"", ""basal"", ""apical""]"
172 node_type_id=='471129934' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00103795967626 "[""basal"", ""apical""]"
173 node_type_id=='471143169' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000443089645267 "[""basal"", ""apical""]"
174 node_type_id=='471758398' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.0006198463559269 "[""basal"", ""apical""]"
175 node_type_id=='471767045' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000794301297115 "[""basal"", ""apical""]"
176 node_type_id=='485574832' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000835992146815 "[""basal"", ""apical""]"
177 node_type_id=='485835055' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000647903145051 "[""basal"", ""apical""]"
178 node_type_id=='485880739' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000772161409851 "[""basal"", ""apical""]"
179 node_type_id=='486052980' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000897951825332 "[""basal"", ""apical""]"
180 node_type_id=='486110216' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000688643322757 "[""basal"", ""apical""]"
181 node_type_id=='487664663' pop_name=='e4Scnn1a' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000890493189227 "[""basal"", ""apical""]"
182 node_type_id=='471129934' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 7.838888615299999e-05 "[""somatic"", ""basal"", ""apical""]"
183 node_type_id=='471143169' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 1.11237593421e-05 "[""somatic"", ""basal"", ""apical""]"
184 node_type_id=='471758398' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 4.70591699995e-05 "[""somatic"", ""basal"", ""apical""]"
185 node_type_id=='471767045' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 2.68385960753e-05 "[""somatic"", ""basal"", ""apical""]"
186 node_type_id=='485574832' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 2.4373507985e-05 "[""somatic"", ""basal"", ""apical""]"
187 node_type_id=='485835055' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 1.49208102125e-05 "[""somatic"", ""basal"", ""apical""]"
188 node_type_id=='485880739' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 2.48387417058e-05 "[""somatic"", ""basal"", ""apical""]"
189 node_type_id=='486052980' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 4.55150733334e-05 "[""somatic"", ""basal"", ""apical""]"
190 node_type_id=='486110216' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000103239822184 "[""somatic"", ""basal"", ""apical""]"
191 node_type_id=='487664663' pop_name=='i23Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 2.33257923903e-05 "[""somatic"", ""basal"", ""apical""]"
192 node_type_id=='471129934' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00103795967626 "[""basal"", ""apical""]"
193 node_type_id=='471143169' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000443089645267 "[""basal"", ""apical""]"
194 node_type_id=='471758398' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.0006198463559269 "[""basal"", ""apical""]"
195 node_type_id=='471767045' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000794301297115 "[""basal"", ""apical""]"
196 node_type_id=='485574832' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000835992146815 "[""basal"", ""apical""]"
197 node_type_id=='485835055' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000647903145051 "[""basal"", ""apical""]"
198 node_type_id=='485880739' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000772161409851 "[""basal"", ""apical""]"
