timestamps population node_ids
67.20000000009833 mcortex 0
2210.699999999377 mcortex 0
2155.399999999176 mcortex 0
2091.399999998943 mcortex 0
2075.799999998886 mcortex 0
2063.5999999988417 mcortex 0
2006.8999999988223 mcortex 0
1980.8999999988464 mcortex 0
2238.799999999479 mcortex 0
1945.6999999988784 mcortex 0
1894.099999998925 mcortex 0
1818.6999999989937 mcortex 0
1799.0999999990115 mcortex 0
1741.5999999990638 mcortex 0
1723.1999999990803 mcortex 0
1588.3999999992031 mcortex 0
1568.2999999992214 mcortex 0
1917.199999998904 mcortex 0
2269.9999999995925 mcortex 0
2322.599999999784 mcortex 0
2343.8999999998614 mcortex 0
2880.8000000018146 mcortex 0
2849.1000000016998 mcortex 0
2814.400000001573 mcortex 0
2794.900000001502 mcortex 0
2780.4000000014494 mcortex 0
2749.1000000013355 mcortex 0
2733.4000000012784 mcortex 0
2699.4000000011547 mcortex 0
2625.400000000885 mcortex 0
2565.100000000666 mcortex 0
2519.1000000004988 mcortex 0
2499.5000000004275 mcortex 0
2467.3000000003103 mcortex 0
2447.3000000002376 mcortex 0
2401.4000000000706 mcortex 0
2386.400000000016 mcortex 0
2361.1999999999243 mcortex 0
1551.7999999992364 mcortex 0
2892.200000001856 mcortex 0
1518.5999999992666 mcortex 0
1471.5999999993094 mcortex 0
653.5000000000534 mcortex 0
635.0000000000703 mcortex 0
554.4000000001436 mcortex 0
521.5000000001735 mcortex 0
480.50000000017496 mcortex 0
446.60000000016726 mcortex 0
405.4000000001579 mcortex 0
676.5000000000325 mcortex 0
386.0000000001535 mcortex 0
288.1000000001312 mcortex 0
222.10000000011624 mcortex 0
169.2000000001042 mcortex 0
139.10000000009737 mcortex 0
125.20000000009505 mcortex 0
96.50000000009666 mcortex 0
79.80000000009761 mcortex 0
348.600000000145 mcortex 0
700.8000000000104 mcortex 0
737.6999999999769 mcortex 0
757.4999999999588 mcortex 0
1415.3999999993605 mcortex 0
1393.4999999993804 mcortex 0
1370.9999999994009 mcortex 0
1338.0999999994308 mcortex 0
1324.1999999994434 mcortex 0
1259.4999999995025 mcortex 0
1249.6999999995112 mcortex 0
1223.599999999535 mcortex 0
1186.2999999995689 mcortex 0
1129.2999999996207 mcortex 0
1048.799999999694 mcortex 0
952.7999999997812 mcortex 0
937.2999999997952 mcortex 0
882.4999999998452 mcortex 0
859.9999999998656 mcortex 0
848.4999999998761 mcortex 0
788.099999999931 mcortex 0
1483.999999999298 mcortex 0
2952.100000002074 mcortex 0
