% Model:              plausibility.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 10 2023, 20:57
% Dimension:          3
% Nodes:              67
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (V)
-16                       300                      844.9999999999999        -1.5495767086316602E-5
-16                       300                      840.8361064968218        -1.6775157399361917E-5
-16                       300                      819.2005224341194        -2.3888587199383927E-5
-16                       300                      815.6071767137225        -2.5163704853520947E-5
-16                       300                      791.8073026646858        -3.4073901166839465E-5
-16                       300                      184.01388631354155       -0.0423680388348658
-16                       300                      183.5274260147839        -0.043541789046247815
-16                       300                      182.8589511989278        -0.0451756830887137
-16                       300                      184.11712249518416       -0.042123697446601674
-16                       300                      181.99999999999997       -0.047310781075213464
-16                       300                      184.47460143057913       -0.04128235517064173
-16                       300                      185.1318957866772        -0.03974446619485263
-16                       300                      185.90271945380343       -0.03799320336180151
-16                       300                      187.42093950996127       -0.03471389357983264
-16                       300                      190.18092311661553       -0.02946516294110374
-16                       300                      191.35672546754972       -0.027513120109198003
-16                       300                      192.18263731801233       -0.026254216229702247
-16                       300                      192.25344136477767       -0.026150451509542778
-16                       300                      192.88822737756686       -0.02522173485860034
-16                       300                      192.2915409929003        -0.026093610628185743
-16                       300                      199.4302622120615        -0.0179352419252757
-16                       300                      197.1363399706937        -0.02009878837746324
-16                       300                      195.85647508020327       -0.021490487173603284
-16                       300                      193.07026562914075       -0.024973220268915675
-16                       300                      200.00005660956515       -0.017445193046107206
-16                       300                      200.79298336916835       -0.016801511653767885
-16                       300                      207.02135962101386       -0.01283152647063833
-16                       300                      208.91098186190698       -0.011923168921995946
-16                       300                      211.50775239675886       -0.010807600951565957
-16                       300                      211.8721680669023        -0.010664519983308493
-16                       300                      218.9020952874132        -0.008443040578593226
-16                       300                      215.43077202332574       -0.009452836452216354
-16                       300                      219.80249407063832       -0.008213469522547309
-16                       300                      223.56921057661233       -0.007330780839698588
-16                       300                      227.3810324365959        -0.0065566021138528646
-16                       300                      225.93580576708095       -0.006820177999401284
-16                       300                      233.63478025063702       -0.00557035896673619
-16                       300                      240.85183111724677       -0.004709440403605574
-16                       300                      251.61484822528894       -0.003739059474151993
-16                       300                      246.9616608286858        -0.004121375848714558
-16                       300                      755.8206526312247        -4.8770943621255734E-5
-16                       300                      740.7262258121095        -5.540768719870517E-5
-16                       300                      636.446706674703         -1.1281187117270245E-4
-16                       300                      631.1134073159328        -1.1680350540118534E-4
-16                       300                      605.2285029160591        -1.3760960515040536E-4
-16                       300                      272.8483956167381        -0.0025681482397925497
-16                       300                      253.1675679024146        -0.0036238422980922553
-16                       300                      276.9968437248672        -0.0023917463214873803
-16                       300                      278.80759323996426       -0.0023225014074943692
-16                       300                      492.51462869169904       -2.982228687986585E-4
-16                       300                      425.288518064343         -4.861593734617986E-4
-16                       300                      510.2275546912295        -2.6240114542233097E-4
-16                       300                      406.92201434087497       -5.657605614913278E-4
-16                       300                      383.33355311568585       -6.968531506341305E-4
-16                       300                      562.6271395781886        -1.839753388635291E-4
-16                       300                      668.5056981921631        -9.078444167336947E-5
-16                       300                      643.0489611635828        -1.0797907308302793E-4
-16                       300                      547.3715949505993        -2.0390217882403474E-4
-16                       300                      519.9625045966826        -2.4537979983495683E-4
-16                       300                      530.1402229141581        -2.2746617671573857E-4
-16                       300                      280.60489670320146       -0.002259935851709699
-16                       300                      324.74944302220206       -0.0012617917427750396
-16                       300                      325.608573847455         -0.0012505068407815264
-16                       300                      325.8122840164474        -0.0012474655781091533
-16                       300                      325.7041233431645        -0.0012490417653547637
-16                       300                      361.63018653316703       -8.52608453643454E-4
-16                       300                      325.821584977639         -0.0012473325413203309
