timestamps population node_ids
0.4000000001000002 v1 12240
5.375000000100043 v1 12240
10.375000000099943 v1 12240
15.350000000099662 v1 12240
20.32500000009938 v1 12240
0.0500000001 v1 13128
5.025000000100038 v1 13128
10.000000000099966 v1 13128
14.975000000099685 v1 13128
19.9500000000994 v1 13128
24.92500000009912 v1 13128
20.45000000009937 v1 13656
11.900000000099856 v1 16236
18.100000000099502 v1 16920
23.175000000099214 v1 16992
0.1000000001 v1 17484
5.075000000100038 v1 17484
10.050000000099963 v1 17484
15.02500000009968 v1 17484
20.000000000099398 v1 17484
24.975000000099115 v1 17484
0.1000000001 v1 21528
5.10000000010004 v1 21528
10.075000000099964 v1 21528
15.050000000099681 v1 21528
20.0250000000994 v1 21528
10.350000000099945 v1 21588
15.675000000099645 v1 21588
24.05000000009917 v1 21888
20.750000000099355 v1 28920
21.195157000000002 v1 30024
24.20000000009916 v1 30216
22.95000000009923 v1 30312
22.77500000009924 v1 30324
18.175000000099498 v1 30360
8.425000000100058 v1 30384
18.475000000099485 v1 30384
23.122488 v1 32100
22.700000000099244 v1 40152
7.250000000100043 v1 43716
17.200000000099664 v1 43716
2.0000000001 v1 48120
6.97500000010004 v1 48120
11.950000000099964 v1 48120
16.92500000009968 v1 48120
21.900000000099396 v1 48120
22.400000000099265 v1 53076
20.800000000099352 v1 53688
7.725000000100076 v1 53892
15.800000000099635 v1 53892
22.85000000009924 v1 53892
14.650000000099704 v1 54564
29.750000000098844 v1 11976
39.800000000100496 v1 11976
42.200000000101035 v1 12012
29.00000000009889 v1 12036
25.300000000099093 v1 12240
30.27500000009881 v1 12240
35.250000000099455 v1 12240
40.225000000100586 v1 12240
45.20000000010172 v1 12240
30.30000000009881 v1 12432
33.400000000099034 v1 12516
29.900000000098835 v1 13128
34.87500000009937 v1 13128
39.8500000001005 v1 13128
44.82500000010163 v1 13128
49.800000000102756 v1 13128
35.425000000099494 v1 13260
29.27500000009887 v1 13272
25.47500000009909 v1 13356
38.92500000010029 v1 13440
44.77500000010161 v1 13884
32.650000000098856 v1 14760
43.425000000101306 v1 15072
42.55000000010077 v1 15876
41.32500000010084 v1 16044
28.375000000098918 v1 16212
39.27500000010037 v1 16992
29.300000000098873 v1 17472
29.95000000009883 v1 17484
34.92500000009938 v1 17484
39.900000000100505 v1 17484
44.87500000010164 v1 17484
49.850000000102774 v1 17484
36.40000000009972 v1 21264
25.000000000099114 v1 21528
29.97500000009883 v1 21528
34.950000000099394 v1 21528
39.925000000100525 v1 21528
44.90000000010165 v1 21528
49.87500000010278 v1 21528
25.27500000009909 v1 21588
35.225000000099456 v1 21588
45.20000000010172 v1 21588
33.82500000009913 v1 24612
41.40000000010085 v1 24624
45.95000000010189 v1 24684
26.12500000009905 v1 24876
46.92500000010211 v1 25008
25.200000000099106 v1 25056
48.225000000102405 v1 25056
41.575000000100886 v1 25068
35.07500000009941 v1 25116
43.925000000101434 v1 25212
40.77500000010071 v1 25224
41.836645 v1 29676
39.80700300000001 v1 29820
39.690326000000006 v1 30012
26.622418 v1 30048
47.273284 v1 30096
28.97500000009889 v1 30204
38.1000000001001 v1 30204
33.400000000099034 v1 30216
29.175000000098876 v1 30240
38.50000000010019 v1 30240
48.37500000010243 v1 30240
44.45000000010155 v1 30264
32.57500000009885 v1 30312
32.45000000009882 v1 30324
44.40000000010153 v1 30324
49.30000000010264 v1 30324
45.1250000001017 v1 30336
