,0,1,2,3,4,5
0,,0.582,0.544,0.915,0.558,0.487
1,,,0.629,0.483,0.957,0.562
2,,,,0.449,0.598,0.948
3,,,,,0.504,0.436
4,,,,,,0.581
5,,,,,,
