,0,1,2,3,4,5
0,,0.491,0.467,0.938,0.419,0.413
1,,,0.535,0.408,0.94,0.474
2,,,,0.387,0.456,0.94
3,,,,,0.384,0.381
4,,,,,,0.451
5,,,,,,
