% Model:              ex_vivo_config_full_model_small_extended.mph
% Version:            COMSOL 6.1.0.346
% Date:               Apr 4 2024, 12:04
% Dimension:          3
% Nodes:              10958
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (V)
-26.536612167204204       153.80895877146256       -203.5805341750665       2.9750104525973094E-5
6.435081488064747E-15     115.09285603890199       -260                     0
4.911626505589816         123.69693109058407       -188.96028417969364      4.288791569871338E-5
-67.82614871048305        75.96654228197208        -250.99723813441344      0
-86.48673077570535        169.69736067911938       -245.1938934796923       0
1.3026705438191632E-14    222.74224449467926       -259.99999999999994      0
36.39774434538292         78.1625724483935         -196.14596630696155      2.7074660018557378E-5
9.748438587302074E-31     10.000000000000016       -260                     0
69.82322061683153         77.21019869997521        -250.4490324650771       0
43.736327366421165        147.13666218355112       -187.42194929218056      3.9364852251579555E-5
87.47265473284233         169.7254666538402        -244.84389858436117      0
98.93904488031482         10.000000000000007       -240.43887569442396      0
34.8301253231958          10.000000000000007       -174.22791804790674      0
-34.04800525736562        10.000000000000012       -174.6425028955407       0
-98.83463325716392        10.000000000000018       -240.48181232818374      0
-38.96802149135014        87.84532764222948        -173.9051700385123       4.502473282952695E-5
-145.34769259831958       86.27405452973325        -215.57840396557444      0
-36.57010544384069        50.00000000000001        -124.75018232719381      5.734351893114746E-5
4.874219293651037E-31     50                       -130                     5.815043877545604E-5
-36.26074562852872        85.88862237799363        -124.84053158515117      1.0786868594102176E-4
-95.08977906600923        77.06601485050776        -143.0916373167029       4.325030025779656E-5
35.839888388196506        50                       -124.96196777598072      5.835832436960605E-5
10.383730752386917        48.008227484068634       -163.63365688989688      3.207106542067164E-5
25.06831492261592         79.80849376626179        -127.56010186159523      1.009578528541223E-4
59.05191649599169         64.25467311655926        -149.06279487775194      4.648114611391678E-5
2.198931107010409E-15     85.91127022977385        -130                     1.0851870843616862E-4
28.837864969846784        105.44352242157841       -155.79762602327662      7.358386321190837E-5
48.256736705029105        93.37424357831016        -120.71158752407119      1.153051091060814E-4
-97.9283573624789         125.85785327882144       -146.59298134176052      5.153820189855992E-5
-183.06299722551574       168.01782093532654       -184.62919337637487      0
-128.94481011248234       180.00486862987748       -139.81338703057082      3.38068283254484E-5
103.9726024516239         330.00000000000006       -155.70198565172618      0
183.84764207013652        329.99999999999994       -183.84788414678835      0
149.30080317883318        251.4382686479459        -212.85974295332431      0
99.8409489947144          329.99999999999994       -240.06578264202827      0
-249.9183976093929        260.67882676756784       -71.69933428110318       0
-240.06578263958158       330                      -99.84094900059766       0
-260                      330                      1.959434878635765E-14    0
-172.2104854670344        273.18556112366974       -65.20555664603005       1.3621434268103329E-5
-212.85974295484712       251.43826864252796       -149.30080317666224      0
