electrode pos_x pos_y pos_z
0 1. 81. -39.
1 1. 81. -64.
2  1. 81. -89.
3  1. 81. -114.
4  1 66 -39
5  1 66 -64
6  1 66 -89
7  1 66 -114
8  0 0 0
