timestamps population node_ids
18.250000000099497 v1 4284
9.525000000099991 v1 64836
12.75000000009981 v1 64908
23.97500000009917 v1 67932
18.40000000009949 v1 68004
20.900000000099347 v1 117072
21.120305 v1 118584
23.142779 v1 119664
13.500000000099767 v1 121212
13.375000000099774 v1 160776
21.7250000000993 v1 160812
20.70000000009936 v1 213732
27.050000000099 v1 3384
28.92500000009889 v1 4356
30.5750000000988 v1 49968
40.67500000010069 v1 49968
30.625000000098797 v1 53208
30.90000000009878 v1 55404
36.000000000099625 v1 56556
27.000000000099 v1 64836
47.97500000010235 v1 64836
49.20000000010263 v1 64908
47.95000000010234 v1 65196
28.07500000009894 v1 67824
29.200000000098875 v1 67932
39.75000000010048 v1 67932
33.20000000009899 v1 68004
49.90000000010279 v1 85680
40.35000000010061 v1 87408
36.60000000009976 v1 117072
29.426046000000003 v1 118080
34.68957100000001 v1 120024
48.000000000102354 v1 121212
49.62500000010272 v1 123624
26.32500000009904 v1 123732
40.493647 v1 132624
37.10168 v1 142056
47.871113 v1 143172
48.15000000010239 v1 145224
26.975000000099 v1 146304
40.925000000100745 v1 148824
47.72500000010229 v1 148824
38.12500000010011 v1 150876
47.07500000010214 v1 157320
47.47353100000001 v1 160092
29.30000000009887 v1 160632
49.22500000010263 v1 163080
33.32500000009902 v1 208008
43.350000000101296 v1 208008
32.8000000000989 v1 208692
35.37500000009948 v1 211896
48.55000000010248 v1 212652
39.32500000010038 v1 213012
27.87500000009895 v1 213552
26.600000000099023 v1 213732
39.10000000010033 v1 213732
38.75000000010025 v1 216792
33.42500000009904 v1 218736
37.10000000009988 v1 219816
27.75000000009896 v1 220716
42.30000000010106 v1 221508
33.424832 v1 224064
44.30000000010151 v1 226152
49.87500000010278 v1 226152
42.55000000010112 v1 226224
49.725000000102746 v1 226224
51.17500000010308 v1 4104
50.825000000103 v1 4284
50.72500000010297 v1 53208
55.000000000103945 v1 54540
61.10000000010533 v1 55404
70.42500000010745 v1 64836
59.02500000010486 v1 68004
53.0500000001035 v1 98856
50.57500000010294 v1 117072
54.725462 v1 118332
62.369826 v1 118872
70.26786200000001 v1 119484
59.611307 v1 120276
57.066115 v1 120420
72.850000000108 v1 120852
57.365089000000005 v1 126972
58.691483 v1 127224
66.989725 v1 129060
50.285594 v1 129384
71.295537 v1 131724
71.86053199999999 v1 132120
71.295537 v1 132984
58.00245 v1 133452
57.261616 v1 133524
69.888988 v1 134640
60.571858 v1 135396
73.24543100000001 v1 137268
71.246158 v1 139896
51.55000000010316 v1 150480
55.07500000010396 v1 150948
51.42500000010313 v1 160632
59.97500000010508 v1 160812
54.57500000010385 v1 163188
53.77500000010367 v1 208008
51.40000000010313 v1 211644
57.57500000010453 v1 211644
51.300000000103104 v1 213552
62.67500000010569 v1 213732
73.3000000001081 v1 216288
68.10000000010692 v1 216396
52.82500000010345 v1 217908
53.07500000010351 v1 219816
60.800000000105264 v1 219816
53.550000000103616 v1 220716
51.10000000010306 v1 221508
61.57500000010544 v1 221508
69.761157 v1 222372
62.73026900000001 v1 222732
62.876524 v1 223236
72.49984000000002 v1 223704
57.261616 v1 224496
52.47500000010337 v1 225504
58.475000000104735 v1 225612
73.22500000010808 v1 226224
93.77500000011275 v1 3924
97.72500000011364 v1 3960
88.57500000011157 v1 4104
95.85000000011324 v1 4140
85.1750000001108 v1 4356
89.90000000011187 v1 50796
80.3250000001097 v1 51840
93.35000000011266 v1 53136
91.45000000011224 v1 55404
88.55000000011157 v1 67932
95.85000000011324 v1 67932
99.05000000011395 v1 74592
94.17500000011285 v1 114552
92.02500000011236 v1 117072
86.79101 v1 118980
89.002658 v1 119520
78.37348800000001 v1 120060
93.853171 v1 120168
95.167668 v1 120384
91.42500000011222 v1 120852
83.95000000011052 v1 121212
98.8250000001139 v1 121212
87.12500000011124 v1 121752
98.62500000011386 v1 121752
80.57974100000001 v1 124848
94.798173 v1 124920
99.645047 v1 127188
85.644378 v1 130032
87.460143 v1 130356
78.708209 v1 133776
89.655646 v1 136836
79.64718500000001 v1 139212
99.993821 v1 140148
92.906069 v1 140580
93.594938 v1 140904
81.13814300000001 v1 141192
86.53292 v1 141552
89.864222 v1 142020
96.434384 v1 142452
79.157011 v1 143316
83.15846 v1 143388
82.912526 v1 144684
75.5250000001086 v1 146304
97.65000000011364 v1 150768
79.12500000010942 v1 157032
79.4500000001095 v1 157140
96.80000000011344 v1 157320
91.05000000011214 v1 160488
97.30000000011356 v1 160956
98.95685500000002 v1 168984
98.9000000001135 v1 173592
93.330876 v1 196236
89.40000000011133 v1 197784
80.87500000010982 v1 208692
89.67500000011182 v1 208908
95.10000000011306 v1 212364
77.82500000010913 v1 213552
97.9250000001137 v1 213552
97.0750000001135 v1 213732
80.27500000010969 v1 216288
90.450000000112 v1 219816
93.25000000011264 v1 220716
93.30000000011265 v1 221508
89.655646 v1 222516
78.089537 v1 222912
90.485417 v1 222948
12.375000000099831 v1 4357
14.425000000099717 v1 65089
10.525000000099936 v1 86257
15.425000000099658 v1 86257
20.45000000009937 v1 86257
23.811819 v1 118657
11.934042 v1 119161
20.37873 v1 119593
12.255344 v1 120061
12.401735 v1 126721
15.325000000099664 v1 146197
24.72500000009913 v1 157033
18.30000000009949 v1 163261
23.5500000000992 v1 220825
28.47500000009892 v1 4357
38.900000000100285 v1 47881
46.02500000010191 v1 48817
40.95000000010075 v1 52669
40.42500000010063 v1 53389
39.875000000100506 v1 65089
29.900000000098835 v1 85645
25.500000000099085 v1 86257
30.5000000000988 v1 86257
35.52500000009952 v1 86257
31.125000000098765 v1 98893
44.47500000010155 v1 115381
26.250000000099043 v1 117109
40.12500000010056 v1 117109
31.125000000098765 v1 117145
40.573875 v1 117325
42.818149000000005 v1 119413
40.197775 v1 119809
49.916602000000005 v1 120493
39.22500000010036 v1 121753
49.916602000000005 v1 126577
